obfuscation,seed,n_entities,n_launderers,model,comparison,metric,d_point,ci_lo,ci_hi,equiv_bound,verdict,T2_auc,hi_auc,T2_ap,hi_ap,audit_pass,audit_worst_feature,audit_worst_auc
0.6,20260709,8000,383,gboost,T2_vs_T3,ap,0.010073149341907284,0.004876380510046718,0.016046862803263756,0.016046862803263756,EQUIVALENT,0.9827303294026587,0.9843825358352264,0.9407867538703083,0.9508599032122156,True,w_frac_fast_mean,0.8340499178867115
0.6,20260709,8000,383,gboost,T2_vs_T4,auc,0.006919042913148599,0.003650140734843366,0.010890249480451414,0.010890249480451414,EQUIVALENT,0.9827303294026587,0.9896493723158073,0.9407867538703083,0.9616873340923731,True,w_frac_fast_mean,0.8340499178867115
0.6,20260709,8000,383,gboost,T2_vs_T4,ap,0.020900580222064757,0.012947505872357585,0.0298062408382859,0.0298062408382859,EQUIVALENT,0.9827303294026587,0.9896493723158073,0.9407867538703083,0.9616873340923731,True,w_frac_fast_mean,0.8340499178867115
0.7,20260707,8000,388,logit,T2_vs_T3,auc,0.0040965567118658175,0.0011005062858668758,0.007112039493657873,0.007112039493657873,EQUIVALENT,0.9758449084733274,0.9799414651851932,0.8653865430590171,0.8870068618684365,True,w_frac_fast_mean,0.8262059769977952
0.7,20260707,8000,388,logit,T2_vs_T3,ap,0.021620318809419392,0.013016883193122664,0.030342524157343825,0.030342524157343825,INCONCLUSIVE,0.9758449084733274,0.9799414651851932,0.8653865430590171,0.8870068618684365,True,w_frac_fast_mean,0.8262059769977952
0.7,20260707,8000,388,logit,T2_vs_T4,auc,0.012256827255933578,0.007446433453325701,0.017323180223102603,0.017323180223102603,EQUIVALENT,0.9758449084733274,0.988101735729261,0.8653865430590171,0.9229307951787715,True,w_frac_fast_mean,0.8262059769977952
0.7,20260707,8000,388,logit,T2_vs_T4,ap,0.05754425211975445,0.04260856179737383,0.07385084347372896,0.07385084347372896,SURVEILLANCE_SUPERIOR,0.9758449084733274,0.988101735729261,0.8653865430590171,0.9229307951787715,True,w_frac_fast_mean,0.8262059769977952
0.7,20260707,8000,388,gboost,T2_vs_T3,auc,0.0021972563667784772,-7.971099487805167e-05,0.006188733581095212,0.006188733581095212,EQUIVALENT,0.9908278640345413,0.9930251204013197,0.9636640953886951,0.9671327906160199,True,w_frac_fast_mean,0.8262059769977952
0.7,20260707,8000,388,gboost,T2_vs_T3,ap,0.0034686952273247362,0.000989229462490332,0.006274279428572116,0.006274279428572116,EQUIVALENT,0.9908278640345413,0.9930251204013197,0.9636640953886951,0.9671327906160199,True,w_frac_fast_mean,0.8262059769977952
0.7,20260707,8000,388,gboost,T2_vs_T4,auc,0.002994627311190712,0.0011517611022593354,0.005005083978187758,0.005005083978187758,EQUIVALENT,0.9908278640345413,0.993822491345732,0.9636640953886951,0.9755400146497465,True,w_frac_fast_mean,0.8262059769977952
